Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2021-02-27 00:00:00,ТВСиВО,КОС-120,Лампа УФО,Физический износ,Установлена заглушка на патрубок лампы УФО,ТВСиВО КОС-120 Лампа УФО Физический износ,Установлена заглушка на патрубок лампы УФО
2021-02-28 00:00:00,ТВСиВО,КОС-120,Промывочный насос лампы УФО NIPER1 350M,Физический износ,Замена на резервный насос,ТВСиВО КОС-120 Промывочный насос лампы УФО NIPER1 350M Физический износ,Замена на резервный насос
2021-03-13 00:00:00,ТВСиВО,Сеть хоз.питьевого водоснабжения врем.пром.площадки,Трубопровод (подземный),Заморозка,Разморозка,ТВСиВО Сеть хоз.питьевого водоснабжения врем.пром.площадки Трубопровод (подземный) Заморозка,Разморозка
2021-03-13 00:00:00,ТВСиВО,Насосная станция   3-го подъема тр. Архангельская,Кондиционер Kentatsu RSUN176HFAN3,Утечка фреона,"Заправка, протяжка портов",ТВСиВО Насосная станция   3-го подъема тр. Архангельская Кондиционер Kentatsu RSUN176HFAN3 Утечка фреона,"Заправка, протяжка портов"
2021-03-25 00:00:00,ТВСиВО,Насосная станция   3-го подъема промышленной площадки,Насос Lowara 66SV03/2AG150 № 2,Износ подшипников,Замена подшипников - 2 шт.,ТВСиВО Насосная станция   3-го подъема промышленной площадки Насос Lowara 66SV03/2AG150 № 2 Износ подшипников,Замена подшипников - 2 шт.
2021-04-02 00:00:00,ТВСиВО,ВОС-800,Установка УФ-обеззараживания воды №2,Физический износ резиновых уплотнителей,Включение в работу УФО №1. Замена изношенных резиновых колец (уплотнителей) на УФО №2 - 4 шт.,ТВСиВО ВОС-800 Установка УФ-обеззараживания воды №2 Физический износ резиновых уплотнителей,Включение в работу УФО №1. Замена изношенных резиновых колец (уплотнителей) на УФО №2 - 4 шт.
2021-04-21 00:00:00,ТВСиВО,КОС-350,Погружной насос Grundfos SEG 40.26.2.50B №1,Попадание твердых фракций в измельчитель насоса,Расчточка нового посадочного гнезда под шпонку,ТВСиВО КОС-350 Погружной насос Grundfos SEG 40.26.2.50B №1 Попадание твердых фракций в измельчитель насоса,Расчточка нового посадочного гнезда под шпонку
2021-04-25 00:00:00,ТВСиВО,КОС-350,Насос денитрификации  Unilift № 17.1,сгорел электродвигатель,"Проведена ревизия. Насос в нерабочем состоянии,демонитрован.",ТВСиВО КОС-350 Насос денитрификации  Unilift № 17.1 сгорел электродвигатель,"Проведена ревизия. Насос в нерабочем состоянии,демонитрован."
2021-05-12 00:00:00,ТВСиВО,КОС-350,Погружной насос Grundfos SEG 40.26.2.50B №1,Механический износ,Замена кабеля на новый,ТВСиВО КОС-350 Погружной насос Grundfos SEG 40.26.2.50B №1 Механический износ,Замена кабеля на новый
2021-05-12 00:00:00,ТВСиВО,ВЗУ 1,Преобразователь частоты УХЛ4 ,сгорела плата,"заказ платы, восстановление работоспособности после поступления ",ТВСиВО ВЗУ 1 Преобразователь частоты УХЛ4  сгорела плата,"заказ платы, восстановление работоспособности после поступления "
2021-05-14 00:00:00,ТВСиВО,ПНС-2,"Кондиционер Kentatsu
KSUN140HFAN3","Недостаточное количество фреона, неравномерное охлаждение по по поверхности, обмерзание межблочки",Дозаправка фреоном R410A,"ТВСиВО ПНС-2 Кондиционер Kentatsu
KSUN140HFAN3 Недостаточное количество фреона, неравномерное охлаждение по по поверхности, обмерзание межблочки",Дозаправка фреоном R410A
2021-05-26 00:00:00,ТВСиВО,КОС-120,Приточная вентиляция П1,"Износ подшипников, перегрев двигателя вентилятора","Демонтаж вентилятора, замена подшипникового узла, установка вентилятора, запуск в работу","ТВСиВО КОС-120 Приточная вентиляция П1 Износ подшипников, перегрев двигателя вентилятора","Демонтаж вентилятора, замена подшипникового узла, установка вентилятора, запуск в работу"
2021-05-31 00:00:00,ТВСиВО,КСО-350,Компрессор Elmo Rietschle 2BH 1810 №1,"Перегрев, залипание контактов","Демонтаж МП, разборка, чистка контактов","ТВСиВО КСО-350 Компрессор Elmo Rietschle 2BH 1810 №1 Перегрев, залипание контактов","Демонтаж МП, разборка, чистка контактов"
2021-06-05 00:00:00,ТВСиВО,ВОС-800,Трубопроводы промывных и дренажных вод,"Просадка грунта в месте стойки крепления трубопровода промывных вод, ослабление компрессионных муфт на трубопроводе дренажных вод","Демонтаж и переклейка трубопровода промывных вод, протягивание комперссионных муфт на трубопроводе дренажных вод","ТВСиВО ВОС-800 Трубопроводы промывных и дренажных вод Просадка грунта в месте стойки крепления трубопровода промывных вод, ослабление компрессионных муфт на трубопроводе дренажных вод","Демонтаж и переклейка трубопровода промывных вод, протягивание комперссионных муфт на трубопроводе дренажных вод"
2021-06-15 00:00:00,ТВСиВО,КОС-350,Коммутационная аппаратура,"В автомате защиты двигателя происходили необратимые процессы старения изоляции, в результате чего, произошло межвитковое замыкание в катушке автомата защиты двигателя. Внутренняя защита для такого отказа не предусмотрена.","Замена автоматических выключателей, включение в работу компрессора после проверки эл. монтажа.","ТВСиВО КОС-350 Коммутационная аппаратура В автомате защиты двигателя происходили необратимые процессы старения изоляции, в результате чего, произошло межвитковое замыкание в катушке автомата защиты двигателя. Внутренняя защита для такого отказа не предусмотрена.","Замена автоматических выключателей, включение в работу компрессора после проверки эл. монтажа."
2021-06-29 00:00:00,ТВСиВО,КОС-350,Насосное оборудование,"Масло меняется не по регламенту, а значительно реже.","Проведена ревизия, насос в неисправном состоянии, демонтирован.","ТВСиВО КОС-350 Насосное оборудование Масло меняется не по регламенту, а значительно реже.","Проведена ревизия, насос в неисправном состоянии, демонтирован."
2021-07-09 00:00:00,ТВСиВО,КОС-350,Насосное оборудование,"Вышел из стороя частотный преобразователь, причина не установлена. Недостаточно знаний по диагностике",Произведена замена на резервный,"ТВСиВО КОС-350 Насосное оборудование Вышел из стороя частотный преобразователь, причина не установлена. Недостаточно знаний по диагностике",Произведена замена на резервный
2021-07-14 00:00:00,ТВСиВО,КОС-350,Поплавковые датчики,"Вышел из строя поплавковый датчик уровня , механический износ проводки. Поплавок не разборный, необслужиеваемый",Произведена замена на резервный,"ТВСиВО КОС-350 Поплавковые датчики Вышел из строя поплавковый датчик уровня , механический износ проводки. Поплавок не разборный, необслужиеваемый",Произведена замена на резервный
2021-07-27 00:00:00,ТВСиВО,КОС-120,Усреднитель,"резервный насос усреднителя Н2  находится в режиме аварии,выключает автомат в ЩУ 1",Произведена замена на новый питающий кабель,"ТВСиВО КОС-120 Усреднитель резервный насос усреднителя Н2  находится в режиме аварии,выключает автомат в ЩУ 1",Произведена замена на новый питающий кабель
2021-07-28 00:00:00,ТВСиВО,КОС-120,Блок управления насосами,Негативное воздействие окружающей среды (ШУ находятся в одном помещении с технологическим оборудованием и емкостями с канализационными стоками),Перевод части оборудования в ручной режим работы,ТВСиВО КОС-120 Блок управления насосами Негативное воздействие окружающей среды (ШУ находятся в одном помещении с технологическим оборудованием и емкостями с канализационными стоками),Перевод части оборудования в ручной режим работы
2021-08-14 00:00:00,ТВСиВО,Общежитие №5,Вытяжная система,Неудовлетворительное качество подшипников,"Отключение вентиляторов, демонтаж, замена подшипникового узла, монтаж, запуск в работу",ТВСиВО Общежитие №5 Вытяжная система Неудовлетворительное качество подшипников,"Отключение вентиляторов, демонтаж, замена подшипникового узла, монтаж, запуск в работу"
2021-12-05 00:00:00,ТВСиВО,КНС ВП,Поплавковые датчики,"Вышел из строя поплавковый датчик уровня , механический износ проводки. Поплавок не разборный, необслужиеваемый",Заменили поплавок,"ТВСиВО КНС ВП Поплавковые датчики Вышел из строя поплавковый датчик уровня , механический износ проводки. Поплавок не разборный, необслужиеваемый",Заменили поплавок
2021-12-29 00:00:00,ТВСиВО,Поселок подрядчиков,Внутренняя система отопления,Неудовлетворительное качество монтажа (подрядчики),"Отключение системы отопления балка №14, демонтаж, замена запорной арматуры и участка трубопровода. Монтаж, запуск в работу",ТВСиВО Поселок подрядчиков Внутренняя система отопления Неудовлетворительное качество монтажа (подрядчики),"Отключение системы отопления балка №14, демонтаж, замена запорной арматуры и участка трубопровода. Монтаж, запуск в работу"
2022-06-04 00:00:00,ТВСиВО,Насос,Соединительная  муфта,"Возможно наличие механического удара при запуске насоса, в результате чего произошел скол муфты","Демонтаж старой муфты, визуальный осмотр, чистка посадочного места от механических загрязнений,замена на новую муфту ","ТВСиВО Насос Соединительная  муфта Возможно наличие механического удара при запуске насоса, в результате чего произошел скол муфты","Демонтаж старой муфты, визуальный осмотр, чистка посадочного места от механических загрязнений,замена на новую муфту "
2022-06-04 00:00:00,ТВСиВО,Насос,Цепь,Износ по сроку службы,Демонтаж изношенных троссов с заменной на новую цепь,ТВСиВО Насос Цепь Износ по сроку службы,Демонтаж изношенных троссов с заменной на новую цепь
2022-06-17 00:00:00,ТВСиВО,Кондиционер,Помпа,Износ по сроку службы,"Демонтаж помпы, перенос дреннажной трассы",ТВСиВО Кондиционер Помпа Износ по сроку службы,"Демонтаж помпы, перенос дреннажной трассы"
2022-08-02 00:00:00,ТВСиВО,КОС-350,"Усреднитель,цепи эжекторов TSURIMI",физический износ,"Установлены новые цепи, кольца, скобы","ТВСиВО КОС-350 Усреднитель,цепи эжекторов TSURIMI физический износ","Установлены новые цепи, кольца, скобы"
2022-08-04 00:00:00,ТВСиВО,КОС-120,Насосное оборудование,физический износ,Произведена замена на новое торцевое уплотнение и новый подшипник,ТВСиВО КОС-120 Насосное оборудование физический износ,Произведена замена на новое торцевое уплотнение и новый подшипник
2022-08-05 00:00:00,ТВСиВО,КОС-120,Насосное оборудование,Износ по сроку службы,Произведена замена на новое торцевое уплотнение,ТВСиВО КОС-120 Насосное оборудование Износ по сроку службы,Произведена замена на новое торцевое уплотнение
2022-08-07 00:00:00,ТВСиВО,КОС-350,Компрессор,Износ по сроку службы,Произведена замена на новые подшипники,ТВСиВО КОС-350 Компрессор Износ по сроку службы,Произведена замена на новые подшипники
2022-08-13 00:00:00,ТВСиВО,КОС-120,Насосное оборудование,физический износ,"Разборка насоса, сушка
На время восстановления установлен насос обслуживания",ТВСиВО КОС-120 Насосное оборудование физический износ,"Разборка насоса, сушка
На время восстановления установлен насос обслуживания"
2022-08-22 00:00:00,ТВСиВО,КОС-350,Трубопроводы,физический износ,"Демонтаж старого шланга, визуальный осмотр, замена на новый шланг ",ТВСиВО КОС-350 Трубопроводы физический износ,"Демонтаж старого шланга, визуальный осмотр, замена на новый шланг "
2022-08-31 00:00:00,ТВСиВО,КОС-350,Запорная аппаратура,физический износ,"Демонтаж старого крана, визуальный осмотр, чистка посадочного места от механических загрязнений,замена на новый кран ",ТВСиВО КОС-350 Запорная аппаратура физический износ,"Демонтаж старого крана, визуальный осмотр, чистка посадочного места от механических загрязнений,замена на новый кран "
2022-10-24 00:00:00,ТВСиВО,Насосная станция 3-го подъема,Насос,физический износ,Произведена замена на новые подшипники,ТВСиВО Насосная станция 3-го подъема Насос физический износ,Произведена замена на новые подшипники
2022-11-01 00:00:00,ТВСиВО,КОС-350,Компрессор,физический износ,"Произведена замена на новые подшипники SKF 6208-2Z/C,SKF 6207-2Z/C",ТВСиВО КОС-350 Компрессор физический износ,"Произведена замена на новые подшипники SKF 6208-2Z/C,SKF 6207-2Z/C"
2022-11-29 00:00:00,ТВСиВО,Поселок подрядчиков,Внутренняя система отопления,nan,Произведена замена на новые краны Маевского (2шт.),ТВСиВО Поселок подрядчиков Внутренняя система отопления nan,Произведена замена на новые краны Маевского (2шт.)
2022-12-04 00:00:00,ТВСиВО,Спортзал,Тепловая завеса,"Не обслуживали, персонал спортзала не сообщал о наличии вибрации, посторонних шумов, чтобы за ранее проверить работу тепловой завесы",Выполнена замена вышедшего из строя эл.двигателя,"ТВСиВО Спортзал Тепловая завеса Не обслуживали, персонал спортзала не сообщал о наличии вибрации, посторонних шумов, чтобы за ранее проверить работу тепловой завесы",Выполнена замена вышедшего из строя эл.двигателя
2023-03-11 00:00:00,ЭК,ДГУ5,Автоматическое регулирование оборотов,Износ контактов,Замена на аналогичный,ЭК ДГУ5 Автоматическое регулирование оборотов Износ контактов,Замена на аналогичный
2023-04-01 00:00:00,ЭК,Силовой шкаф,Аппаратура КИПиА,Износ внутреннего импульсного блока питания,Замена на аналогичный,ЭК Силовой шкаф Аппаратура КИПиА Износ внутреннего импульсного блока питания,Замена на аналогичный
2020-04-20 00:00:00,ЭК,МХ ГДЭС,ШУ-1,Выход из строя контактора,Замена контактора,ЭК МХ ГДЭС ШУ-1 Выход из строя контактора,Замена контактора
2020-05-03 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval HT контура ДГ№1,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval HT контура ДГ№1 Выход из строя подшипников,Замена подшипников
2020-05-03 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval HT контура ДГ№6,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval HT контура ДГ№6 Выход из строя подшипников,Замена подшипников
2020-05-05 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№6,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№6 Выход из строя подшипников,Замена подшипников
2020-05-09 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№3,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№3 Выход из строя подшипников,Замена подшипников
2020-05-10 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval HT контура ДГ№3,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval HT контура ДГ№3 Выход из строя подшипников,Замена подшипников
2020-05-10 00:00:00,ЭК,ГДЭС,ШОТ,Выход из строя реле контроля напряжения ,Замена реле контроля напряжения ,ЭК ГДЭС ШОТ Выход из строя реле контроля напряжения ,Замена реле контроля напряжения 
2020-07-15 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval НT контура ДГ№3,"Обрыв обмотки, короткое замыкание",Замена вентилятора,"ЭК ГДЭС Радиатор охлаждения Alfa Laval НT контура ДГ№3 Обрыв обмотки, короткое замыкание",Замена вентилятора
2020-07-26 00:00:00,ЭК,ГДЭС,РДЭС,Коричневый налет в электролите,Замена аккумуляторов 4 шт.,ЭК ГДЭС РДЭС Коричневый налет в электролите,Замена аккумуляторов 4 шт.
2020-07-30 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№6,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№6 Выход из строя подшипников,Замена подшипников
2020-08-09 00:00:00,ЭК,ГДЭС,Вентиляция П1.1.,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Вентиляция П1.1. Выход из строя подшипников,Замена подшипников
2020-08-11 00:00:00,ЭК,ГДЭС,ШОТ,Вздутие корпуса аккумуляторов,Замена аккумуляторов 17 шт.,ЭК ГДЭС ШОТ Вздутие корпуса аккумуляторов,Замена аккумуляторов 17 шт.
2020-08-27 00:00:00,ЭК,ГДЭС,ШУ ДЭА №1,Нагар на контактах,Чистка контактов,ЭК ГДЭС ШУ ДЭА №1 Нагар на контактах,Чистка контактов
2020-08-28 00:00:00,ЭК,ГДЭС,ДГУ№2,Отпал провод одной фазы,Подключили провод,ЭК ГДЭС ДГУ№2 Отпал провод одной фазы,Подключили провод
2020-08-31 00:00:00,ЭК,ГДЭС,Тельфер,Перегиб провода в кабеле,Соединили провод,ЭК ГДЭС Тельфер Перегиб провода в кабеле,Соединили провод
2020-09-01 00:00:00,ЭК,ГДЭС,ЩС ДЭА №3,Выход из строя выключателя,Замена магнитного пускателя,ЭК ГДЭС ЩС ДЭА №3 Выход из строя выключателя,Замена магнитного пускателя
2020-09-08 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval HT контура ДГ№3,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval HT контура ДГ№3 Выход из строя подшипников,Замена подшипников
2020-09-26 00:00:00,ЭК,ГДЭС, ДГУ№1,Слипание вместе 2-х проводов вторичных токовых цепей в клемной коробке генератора,Установлена дополнительная изоляция на провода,ЭК ГДЭС  ДГУ№1 Слипание вместе 2-х проводов вторичных токовых цепей в клемной коробке генератора,Установлена дополнительная изоляция на провода
2020-10-05 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-6,Чрезмерный нагрев подшипников,Замена подшипников,ЭК ГДЭС Производственная вентиляция П1-6 Чрезмерный нагрев подшипников,Замена подшипников
2020-10-08 00:00:00,ЭК,ОФ,Резервная электростанция ДЭС ОФ,Неисправность аккумулятора,Замена аккумулятора,ЭК ОФ Резервная электростанция ДЭС ОФ Неисправность аккумулятора,Замена аккумулятора
2020-10-14 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№2,"Обрыв обмотки, короткое замыкание",Замена вентилятора,"ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№2 Обрыв обмотки, короткое замыкание",Замена вентилятора
2020-10-15 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№3,"Обрыв обмотки, короткое замыкание",Замена вентилятора,"ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№3 Обрыв обмотки, короткое замыкание",Замена вентилятора
2020-10-16 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№3,Выход из строя подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№3 Выход из строя подшипников,Замена подшипников
2020-10-18 00:00:00,ЭК,ЛОК,ДЭС 100кВт ЛОК,Сломан механизм переключения,Замена рубильника на ВР-32 250А                                                Заказан новый на 400 А,ЭК ЛОК ДЭС 100кВт ЛОК Сломан механизм переключения,Замена рубильника на ВР-32 250А                                                Заказан новый на 400 А
2020-10-20 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-5,Застревание шторок клапана,"Произведена регулировка шторок приточного клапана, смазка подвижных элемнтов",ЭК ГДЭС Производственная вентиляция П1-5 Застревание шторок клапана,"Произведена регулировка шторок приточного клапана, смазка подвижных элемнтов"
2020-11-02 00:00:00,ЭК,МХ ГДЭС,Термомасляная котельная,Разрушение диодных элементов в результате термического воздействия окружающей среды,Замена светильника на светильник лучшего качества,ЭК МХ ГДЭС Термомасляная котельная Разрушение диодных элементов в результате термического воздействия окружающей среды,Замена светильника на светильник лучшего качества
2020-11-04 00:00:00,ЭК,ГДЭС,ДГУ №4,Подгар контактов,Замена контактора,ЭК ГДЭС ДГУ №4 Подгар контактов,Замена контактора
2020-11-06 00:00:00,ЭК,ГДЭС,Слесарная мастерская ГДЭС,Выработка часов ,Замена лампы,ЭК ГДЭС Слесарная мастерская ГДЭС Выработка часов ,Замена лампы
2020-11-11 00:00:00,ЭК,ГДЭС,"Шкаф электроснабжения ""ШВР""",Сгорела катушка,Переход на резервный насос Замена пускателя,"ЭК ГДЭС Шкаф электроснабжения ""ШВР"" Сгорела катушка",Переход на резервный насос Замена пускателя
2020-11-16 00:00:00,ЭК,ГДЭС,Вентиляционная установка П-3,Износ подшипников,"Замена электродвигателя на новый, Замена подшипников на снятом электродвигателе для резерва",ЭК ГДЭС Вентиляционная установка П-3 Износ подшипников,"Замена электродвигателя на новый, Замена подшипников на снятом электродвигателе для резерва"
2020-11-18 00:00:00,ЭК,ГДЭС,Производственная вентиляция     П1-5,Загрязнение воздушных фильтров 24 шт.,Замена воздушных фильтров 24 шт.,ЭК ГДЭС Производственная вентиляция     П1-5 Загрязнение воздушных фильтров 24 шт.,Замена воздушных фильтров 24 шт.
2020-11-22 00:00:00,ЭК,ЛОК,ДЭС 100кВт ЛОК,Не установлена,Замена предохранителя,ЭК ЛОК ДЭС 100кВт ЛОК Не установлена,Замена предохранителя
2020-11-27 00:00:00,ЭК,ГДЭС,Машинный зал мазутного хозяйства,Сгорели блоки питания светильников,Замена светильников на новые,ЭК ГДЭС Машинный зал мазутного хозяйства Сгорели блоки питания светильников,Замена светильников на новые
2020-12-05 00:00:00,ЭК,ГДЭС,Бытовые помещения ГДЭС,Неисправен LED драйвер,Замена светильника,ЭК ГДЭС Бытовые помещения ГДЭС Неисправен LED драйвер,Замена светильника
2020-12-06 00:00:00,ЭК,ГДЭС,Пиковый котел,Наблюдался повышенный нагрев,Переход на резервный насос Замена подшипников,ЭК ГДЭС Пиковый котел Наблюдался повышенный нагрев,Переход на резервный насос Замена подшипников
2020-12-10 00:00:00,ЭК,ГДЭС,ДГУ№3,"Обрыв обмотки, короткое замыкание",Замена вентилятора,"ЭК ГДЭС ДГУ№3 Обрыв обмотки, короткое замыкание",Замена вентилятора
2020-12-13 00:00:00,ЭК,ГДЭС,ДГУ№3,Перегиб проводов термосопротивления в датчике,Ремонт датчика,ЭК ГДЭС ДГУ№3 Перегиб проводов термосопротивления в датчике,Ремонт датчика
2020-12-16 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-5,Сильный износ,Замена ремней,ЭК ГДЭС Производственная вентиляция П1-5 Сильный износ,Замена ремней
2020-12-20 00:00:00,ЭК,ГДЭС,Насос охлаждения форсунок ДГУ№2,Износ элементов насоса,Замена насоса,ЭК ГДЭС Насос охлаждения форсунок ДГУ№2 Износ элементов насоса,Замена насоса
2020-12-26 00:00:00,ЭК,ГДЭС,Приточная вентиляция П-3,Износ подшипников,Замена подшипников,ЭК ГДЭС Приточная вентиляция П-3 Износ подшипников,Замена подшипников
2020-12-27 00:00:00,ЭК,ГДЭС,Светильник в операторской ГДЭС,Сгорел блок питания,Замена светильника,ЭК ГДЭС Светильник в операторской ГДЭС Сгорел блок питания,Замена светильника
2021-01-01 00:00:00,ЭК,ГДЭС,Шкаф обогрева требопроводов (греющие) кабели,Износ элементов контактора,Ревизия контактора,ЭК ГДЭС Шкаф обогрева требопроводов (греющие) кабели Износ элементов контактора,Ревизия контактора
2021-01-07 00:00:00,ЭК,ГДЭС,ДГУ №3,Высыхание смазки подшипников,Замена подшипников вентилятора,ЭК ГДЭС ДГУ №3 Высыхание смазки подшипников,Замена подшипников вентилятора
2021-01-14 00:00:00,ЭК,ГДЭС,ДГУ№6,Износ элементов контактора,Замена контактора,ЭК ГДЭС ДГУ№6 Износ элементов контактора,Замена контактора
2021-01-17 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-4 ДГУ№4,Ослабление крепежных элементов из-за вибрации,Закрепление каркаса,ЭК ГДЭС Производственная вентиляция П1-4 ДГУ№4 Ослабление крепежных элементов из-за вибрации,Закрепление каркаса
2021-01-17 00:00:00,ЭК, МХ ГДЭС,Термомасленная котельная,Не исправен LED драйвер из-за чрезмерного нагрева,Замена светильника,ЭК  МХ ГДЭС Термомасленная котельная Не исправен LED драйвер из-за чрезмерного нагрева,Замена светильника
2021-01-18 00:00:00,ЭК,ГДЭС,  ,Вышел из строя неисправность в электронной плате управления,Требуется замена,ЭК ГДЭС    Вышел из строя неисправность в электронной плате управления,Требуется замена
2021-01-20 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-5 ДГУ№5,Заклинило верхние шторки ,"Ремонт шторок приточного клапана, смазка подвижного механизма",ЭК ГДЭС Производственная вентиляция П1-5 ДГУ№5 Заклинило верхние шторки ,"Ремонт шторок приточного клапана, смазка подвижного механизма"
2021-01-21 00:00:00,ЭК,ГДЭС,Производственная вентиляция П1-5 ДГУ№5,-,"Реле ремонту не подлежит, произведена замена на новое",ЭК ГДЭС Производственная вентиляция П1-5 ДГУ№5 -,"Реле ремонту не подлежит, произведена замена на новое"
2021-01-22 00:00:00,ЭК,ГДЭС,Коридор АБК ГДЭС,Не исправен LED драйвер ,Замена LED драйвера,ЭК ГДЭС Коридор АБК ГДЭС Не исправен LED драйвер ,Замена LED драйвера
2021-01-24 00:00:00,ЭК,ГДЭС,ДГУ№6,Вышел из строя неисправность в электронной плате управления,Требуется замена,ЭК ГДЭС ДГУ№6 Вышел из строя неисправность в электронной плате управления,Требуется замена
2021-01-25 00:00:00,ЭК,ГДЭС,АБК ГДЭС,Сгорела лампа,Замена лампы,ЭК ГДЭС АБК ГДЭС Сгорела лампа,Замена лампы
2021-01-26 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval НT контура ДГ№4,Короткое замыкание обмотки на корпус,Отправка на ремонт в город,ЭК ГДЭС Радиатор охлаждения Alfa Laval НT контура ДГ№4 Короткое замыкание обмотки на корпус,Отправка на ремонт в город
2021-01-28 00:00:00,ЭК,ГДЭС,ШВР котельной,Обнаружено потемнение контакта и отходящего провода фазы А,В работе резервный насос запланирован ремонт,ЭК ГДЭС ШВР котельной Обнаружено потемнение контакта и отходящего провода фазы А,В работе резервный насос запланирован ремонт
2021-01-29 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval LT контура ДГ№4,Износ подшипников,Замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval LT контура ДГ№4 Износ подшипников,Замена подшипников
2021-01-30 00:00:00,ЭК,ГДЭС,Подогреватель НТ контура Эван-24 ДГУ№3,-,Ремонт реле,ЭК ГДЭС Подогреватель НТ контура Эван-24 ДГУ№3 -,Ремонт реле
2021-01-31 00:00:00,ЭК,ЛОК,ДЭС 100кВт ЛОК,Большой пусковой ток электродвигателя на ОФ,Демонтированы из цепи 3 шт. предохранителя ПН2 250А.,ЭК ЛОК ДЭС 100кВт ЛОК Большой пусковой ток электродвигателя на ОФ,Демонтированы из цепи 3 шт. предохранителя ПН2 250А.
2021-02-02 00:00:00,ЭК,ГДЭС,Электрический обогрев дренажной трубы,Короткое замыкание на корпус,Запланировать в теплый период замену греющего кабеля,ЭК ГДЭС Электрический обогрев дренажной трубы Короткое замыкание на корпус,Запланировать в теплый период замену греющего кабеля
2021-02-03 00:00:00,ЭК,ГДЭС,ДГУ№5,Перетирание провода,Перезаделка провода в коннекторе датчика,ЭК ГДЭС ДГУ№5 Перетирание провода,Перезаделка провода в коннекторе датчика
2021-02-05 00:00:00,ЭК,ГДЭС,ДГУ№6,Оборвало шпильку крепления шторки приточного клапана ,Вместо шпильки установлен болт М6,ЭК ГДЭС ДГУ№6 Оборвало шпильку крепления шторки приточного клапана ,Вместо шпильки установлен болт М6
2021-02-07 00:00:00,ЭК,ГДЭС,Помещения АБК ГДЭС,Не исправен LED драйвер ,Замена LED драйвера,ЭК ГДЭС Помещения АБК ГДЭС Не исправен LED драйвер ,Замена LED драйвера
2021-02-09 00:00:00,ЭК,ГДЭС,Радиатор охлаждения Alfa Laval НT контура ДГ№2,Износ подшипников (слышен посторонний шум),Требуется замена подшипников,ЭК ГДЭС Радиатор охлаждения Alfa Laval НT контура ДГ№2 Износ подшипников (слышен посторонний шум),Требуется замена подшипников
2021-02-15 00:00:00,ЭК,ГДЭС,Пускатель 5.2 насоса 8.2 мазутного хазяйства,Загрязнение элементов пускателя,"Чистка, ревизия пускателя",ЭК ГДЭС Пускатель 5.2 насоса 8.2 мазутного хазяйства Загрязнение элементов пускателя,"Чистка, ревизия пускателя"
2021-02-18 00:00:00,ЭК,ГДЭС,Система продувки утиль-котла №3,Облом резьбовой части штуцера,Замена резьбовой части штуцера,ЭК ГДЭС Система продувки утиль-котла №3 Облом резьбовой части штуцера,Замена резьбовой части штуцера
2021-02-25 00:00:00,ЭК,МХ ГДЭС,Пускатель обогрева контура МТ-7 мазутного хазяйства,Сгорели элементы пускателя,Замена пускателя,ЭК МХ ГДЭС Пускатель обогрева контура МТ-7 мазутного хазяйства Сгорели элементы пускателя,Замена пускателя
